from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
54635,54632,,,85927844,86173707,0
53898,54037,,,84087149,81083476,0
1542525,1542526,,,81071116,86176249,0
54617,54615,,,82401023,85164284,1
54399,54397,,,81097370,81068078,0
1542395,1542396,,,85943077,85933668,0
1542395,1542396,,,81080923,85933668,0
54372,54375,,,81089813,86186270,0
54858,54855,,,81089813,86186270,0
54632,54216,,,85943021,81102209,0
1542500,1542499,,,81087926,85610894,0
1542495,1542496,,,81096848,85945851,0
53924,53925,,,82428579,85166900,0
53923,53929,,,85933259,81079351,0
54927,54515,,,81076591,84099276,0
54635,54632,,,81966941,81061658,0
53929,53923,,,86166368,85943641,0
79711,55026,,,86171397,81074125,0
54974,54531,,,81085788,81056613,0
54513,1542822,,,85946471,85398313,0
54632,54910,,,85930844,81052504,0
75056,53898,,,81075697,85406201,0
55067,859776,,,81099473,81058899,0
54632,54635,,,81097703,81934246,0
54642,54643,,,85951459,85950749,0
53861,54083,,,85164291,85155068,0
54394,54395,,,81101436,81062374,0
54632,54635,,,81085515,81086732,0
53925,53924,,,85412694,85385266,0
55371,55212,,,81091073,85411706,0
53925,53924,,,86188702,81094114,0
55134,53905,,,81071158,81094114,0
407409,407408,,,81072222,85594431,0
54513,54514,,,85952385,85931295,0
54643,54642,,,85617002,85932275,0
54413,54415,,,85393404,85407245,0
1542497,1542495,,,82386177,81093041,0
54218,54912,,,83729394,85929604,3
54614,54613,,,83729394,85929604,0
521118,521120,,,85925509,81095433,0
54947,54600,,,85950453,81091720,0
55286,54005,,,83341197,81091720,0
75056,53898,,,81075697,85926238,0
54083,54005,,,86165977,82403141,0
55041,55042,,,81075446,82403141,0
1542497,1542495,,,82385672,85413326,0
54302,55058,,,81063238,85413326,0
1542496,1542495,,,81067818,85930794,0
381627,75041,,,85946102,85399285,0
1542821,1542822,,,81060274,81101111,0
54035,54030,,,81067328,85156600,0
521116,521121,,,81067328,85604871,0
55276,55277,,,85397172,85385905,0
54635,54632,,,86187208,81073213,0
54947,54600,,,85165117,85407526,0
54209,391720,,,81068945,85948618,0
54394,134817,,,83363333,81064233,0
54370,54371,,,81062556,81072846,0
859723,54005,,,81088723,86190034,0
53895,54005,,,81094306,81062572,0
54083,54005,,,81101140,81062572,0
54295,54204,,,85943741,81087647,0
55286,54005,,,86173636,81066595,0
55286,54005,,,81058937,81066595,0
53924,53925,,,81064573,86171317,0
1542396,1542395,,,85390469,85933721,0
53923,53929,,,85612603,85386754,0
521120,521116,,,85148341,81090124,0
1542332,1542333,,,85929855,81076970,0
54646,54645,,,85950183,85614533,0
407408,75041,,,81079843,85401399,0
54737,54365,,,86185526,86171316,0
54967,54394,,,86180269,85935577,0
54967,54394,,,85938495,85935577,0
54911,54635,,,81057443,81969631,0
54302,55058,,,81089855,85403399,0
55272,55275,,,81074483,85615336,0
75041,407408,,,85955671,85941150,0
54030,54035,,,85607195,85609642,0
859723,55245,,,81061546,81094388,0
53867,53865,,,81085314,85941864,3
54514,54513,,,85955708,85927035,0
1542584,1542585,,,81055862,85167062,0
54642,55066,,,85927707,86166496,0
54632,54635,,,81060832,85938736,0
55286,55246,,,85604776,81095532,0
1542500,1542499,,,81084032,81095610,0
1542584,1542585,,,81071116,86171835,0
581241,581244,,,82430797,81101436,0
54635,54632,,,85934949,85953157,0
54635,54632,,,85946004,85953157,0
53924,53925,,,81071116,86190020,0
54218,54632,,,81062246,86190020,0
54643,859914,,,81079469,81087991,0
54035,54030,,,85944495,85944139,0
581245,581246,,,85930060,81065531,0
54123,54600,,,85610974,85948890,0
54633,54638,,,81081868,81097339,0
1542497,1542495,,,86165390,83359826,0
1542596,1542757,,,84096992,81089871,0
859776,54645,,,81079520,81094660,0
391720,54128,,,86180269,86168565,0
53906,55135,,,85611985,85403563,0
54910,54638,,,81086820,85404352,0
54910,54638,,,81076264,85404352,0
55044,55043,,,81074852,86191436,0
54302,55058,,,81075626,85925854,0
54513,1542822,,,85940524,82387997,0
521120,521116,,,85614350,81070022,0
54858,54855,,,81085314,85412455,0
54372,54375,,,81085314,85412455,0
54967,54394,,,85391305,85950440,0
53924,53925,,,81055862,81076056,0
1542495,1542496,,,81059462,85947565,0
1542497,1542495,,,82386177,85601673,0
54632,54635,,,85943021,83362099,0
54910,54638,,,85412245,85407555,0
54497,54499,,,81094521,85941228,0
54515,54927,,,86179896,81067816,0
1542190,1542189,,,81054086,81077081,0
55286,53861,,,85938495,85168146,0
54643,54642,,,85956936,85929145,0
407408,75041,,,86193336,81056156,0
54216,54218,,,81058289,81088176,0
54910,54218,,,81075955,81092004,0
581240,581242,,,81080436,81066988,0
54645,859776,,,81096455,81098270,0
581241,581242,,,83345455,81075507,0
407409,407408,,,81087089,85607659,0
54617,54615,,,81056042,81086250,0
54638,54633,,,81056042,81086250,0
53923,53929,,,85926033,81097441,0
521118,521121,,,85950288,81098225,0
54209,391720,,,81085027,85940526,0
55286,53861,,,86188131,85153493,0
54614,54613,,,81102061,85617494,0
54218,54912,,,81102061,85617494,3
521120,521120,,,85948794,85617494,0
54824,54823,,,85617798,85935680,0
407408,75041,,,85952385,85951814,0
54815,54816,,,85956767,81086743,0
521116,521120,,,81070275,81096155,0
54216,54218,,,81085314,85925171,0
1542821,1542822,,,84778507,81064775,0
54294,54204,,,83349531,81074964,0
54614,54613,,,81064941,86174450,0
54645,54646,,,81096455,85925823,0
54632,54912,,,85940071,85168394,3
54615,54615,,,85944015,85161740,1
54617,54615,,,85930387,86170454,1
54615,54615,,,85935466,86170454,1
1542592,1542757,,,81097703,81056505,0
54910,54218,,,85387314,81056505,0
53861,54083,,,85161094,85150450,0
54295,54204,,,85943741,81082788,0
1542821,54927,,,81066209,81071331,0
54452,54451,,,81072150,85955035,0
54178,54151,,,81086262,81065967,0
54515,54927,,,85951459,81072473,0
54515,54927,,,81055354,81072473,0
54037,54203,,,81060751,86170821,0
54974,54531,,,85391685,81061212,0
54642,54643,,,85940641,85614276,0
859723,55245,,,85934065,85169509,0
54309,54311,,,81055234,85169509,0
54823,54824,,,85402736,81075826,0
54613,54614,,,81067682,85150822,0
54643,54642,,,81079469,85928240,0
54643,54642,,,85949394,85928240,0
581245,581246,,,85938261,81062589,0
54632,54910,,,85935042,81057425,0
54632,54910,,,81089085,81057425,0
581245,581246,,,81074842,81080646,0
1542525,1542526,,,81090756,84100373,0
55286,54005,,,86173636,81080645,0
55286,54005,,,81058937,81080645,0
54030,54035,,,85596335,85601714,0
1542509,1542512,,,85607391,85601714,0
1542509,1542512,,,85614770,85601714,0
1542822,1542821,,,81053628,81095604,0
55245,859723,,,85156482,81069760,0
53923,53929,,,85173330,86172139,0
54632,54910,,,83341197,81099809,0
54635,54632,,,85387293,81077417,0
859844,54682,,,83365186,81073932,0
859844,54682,,,81090000,81073932,0
54037,54111,,,81077130,85932276,0
55272,55275,,,81073731,81080644,0
859844,54682,,,86173256,81082955,0
54982,54985,,,81065158,81538936,0
859844,54682,,,81080488,85946083,0
521120,521116,,,86176930,81056262,0
54454,75041,,,81065208,81096358,0
54216,54218,,,81089813,81075498,0
94402,54819,,,81055765,85162444,0
54434,54785,,,83349531,81092435,0
54515,54515,,,81071041,81064734,1
54257,55026,,,81059407,81080998,0
54911,54635,,,81080233,85946663,0
407408,407409,,,85166843,86182975,0
407408,407409,,,85165282,86182975,0
53929,53923,,,85168469,81068261,0
54005,55286,,,85947812,86171859,0
55246,859723,,,85387959,85413766,0
54822,54824,,,85383851,85411813,0
54642,54643,,,85951459,85955492,0
54498,54499,,,81074158,85948953,0
54645,54646,,,81065219,85954086,0
53910,53911,,,85387367,85388971,0
391720,54209,,,85391718,81052697,0
54858,54855,,,81058289,85928184,0
54372,54375,,,81058289,85928184,0
54030,54035,,,85945686,85951091,0
55272,55275,,,81065239,85947627,0
54030,54035,,,85618626,85947627,0
55044,55043,,,85618316,81055931,0
407409,407408,,,85149946,86186081,0
1542395,1542396,,,81058868,81071994,0
54632,54635,,,81065277,85952559,0
859723,55245,,,85934065,85618374,0
54394,134817,,,81062030,86162892,0
54084,54086,,,85935885,85929974,0
521116,521120,,,81068358,85616305,0
54635,54632,,,85949885,85606727,0
859844,54682,,,86178340,85943065,0
581245,581246,,,81087122,81080186,0
53929,53923,,,86183726,86192754,0
54204,54111,,,81052532,81096536,0
55026,54257,,,81080436,81096536,0
1542396,1542395,,,85933745,85931858,0
54370,54371,,,85149727,81086016,0
53929,53923,,,86168171,85947741,0
54967,54394,,,86188702,85934122,0
55067,54646,,,81060771,86178416,0
54514,54513,,,85946771,85927298,0
54597,54602,,,85951577,85393064,0
1542189,1542190,,,81067273,81076115,0
55134,53905,,,81087619,81095177,0
54413,54415,,,85395722,85385435,0
1542821,54514,,,81053252,85956931,0
54643,54642,,,81066667,86163695,0
1542584,1542585,,,81063311,81060208,0
54209,391720,,,81068945,86188131,0
54150,54149,,,85401980,85392041,0
407409,407408,,,85149946,85938115,0
54209,54363,,,81093685,86193656,0
859776,54645,,,85390469,85413650,0
55041,55050,,,85957040,81083873,0
54617,54615,,,86174801,85166689,1
54615,54615,,,81100277,85166689,1
1542592,1542593,,,81085515,81076887,0
1542525,1542526,,,81090756,81077528,0
55026,54257,,,86164828,86181947,0
1542190,1542189,,,86176956,81071328,0
1542395,1542396,,,85928917,86167090,0
54635,54632,,,81088330,81076978,0
54632,54635,,,82413093,81078535,0
1542594,1542592,,,85393292,81078535,0
54632,54635,,,82395196,81078535,0
53993,53994,,,81090431,81086175,0
1542498,1542496,,,81052498,81057233,0
521120,521116,,,85390899,81075753,0
521118,521121,,,85929240,81052799,0
53861,54083,,,85170072,85172910,0
54005,53861,,,81072842,85150939,0
54635,54632,,,85936954,85389506,0
53867,53865,,,86178340,86169539,3
54218,54632,,,85946102,85403148,0
54035,54030,,,85617624,85609610,0
55272,55275,,,81070719,85950785,0
75041,407409,,,81083223,81094396,0
54035,54030,,,85940587,85944564,0
54513,54514,,,85951977,86169825,0
54635,54632,,,85949885,86172716,0
54632,54635,,,85387920,81099767,0
54643,859914,,,81057989,81087232,0
54643,859914,,,81061538,81087232,0
54083,54005,,,85607313,81087067,0
1542495,1542496,,,85937889,81084277,0
54209,391720,,,81096578,85383856,0
859844,54682,,,81074933,85929958,0
1542584,1542585,,,81090756,86185677,0
54643,54642,,,86165244,85930630,0
54632,54912,,,85940071,85164016,3
391720,54209,,,86173636,81075665,0
391720,54209,,,81058937,81075665,0
54434,54784,,,86163215,81061044,0
54434,54785,,,83349531,81054735,0
54911,54635,,,85941629,85945724,0
859723,55245,,,81095167,85945724,0
55043,55044,,,81091242,85949923,0
54123,54602,,,81072842,81073782,0
859723,55245,,,85925091,85935147,0
54642,54643,,,85939062,82391694,0
54643,54642,,,81079469,85944979,0
54643,54642,,,85949394,85944979,0
54635,54632,,,81968544,81097651,0
55286,54005,,,86185814,81070977,0
54947,54600,,,83345455,81070977,0
1542495,1542496,,,81060793,81056437,0
54370,54371,,,81099303,81076404,0
54638,54633,,,82400014,81076404,0
54617,54615,,,82400014,81076404,0
53912,53911,,,85941969,86192134,0
54597,54602,,,85950624,81098144,0
521120,521116,,,85941969,85931635,0
54645,54646,,,85942897,85950183,0
54123,54600,,,81072842,81079712,0
54927,54515,,,81075446,81091828,0
54515,54927,,,85950624,81061265,0
54452,54451,,,81072150,85936110,0
54037,54111,,,81086274,81066128,0
54375,54372,,,81077570,82405630,0
53924,53925,,,81063311,86193694,0
1542395,1542396,,,81080923,81056336,0
54615,54615,,,85944015,85598647,1
54218,54633,,,81062246,81053614,0
1542344,1542280,,,81097928,81089704,0
54815,54816,,,85939265,85953116,0
54514,54515,,,85951063,85953116,0
54302,55058,,,81089855,81063579,0
54434,54785,,,81067818,85606783,0
54632,54911,,,81067124,81090260,0
54005,55286,,,85954210,85936579,0
54514,54515,,,85400334,85400986,0
54035,54030,,,85929076,81055601,0
521118,521121,,,85925509,85598306,0
54454,75041,,,81097541,85399377,0
54006,55245,,,81073969,85935763,0
53898,54037,,,83345469,81948749,0
1542496,1542495,,,81072217,81958764,0
54370,54371,,,85952385,85932444,0
54638,54633,,,85396546,85932444,0
54617,54615,,,85396546,85932444,0
1542822,1542821,,,81097718,81073334,0
54514,54513,,,85937046,85952278,0
1542525,1542526,,,81090756,85402938,0
54737,54361,,,81093351,85166513,0
1542525,1542526,,,85947804,86164280,0
54452,54451,,,85951063,85951822,0
54515,54927,,,85936253,85933794,0
1542189,1542190,,,81055553,81062636,0
521120,521118,,,85171863,85598910,0
55286,54005,,,81097787,81085142,0
54515,54515,,,85956627,81084686,1
54515,54515,,,85618316,81084686,1
54597,54602,,,85612207,85618418,0
54632,54635,,,81085439,81080584,0
54515,54515,,,81065356,81078049,1
521121,521121,,,85953303,85947036,0
54633,54638,,,81056125,81076007,0
391720,54209,,,85927996,81101406,0
54642,54643,,,85944196,85615929,0
55286,53861,,,86173636,85159782,0
55286,53861,,,81058937,85159782,0
54816,54823,,,85157983,85390754,0
54614,54613,,,81087087,86177925,0
1542509,1542512,,,85929356,85932786,0
54502,54498,,,85954210,85158253,0
54394,134817,,,83345469,81972318,0
54454,75041,,,81065208,81066797,0
1542531,1542531,,,81062894,85389051,0
54947,54600,,,85946773,85938566,0
54642,54643,,,85936253,81079017,0
521121,521116,,,85607435,81096455,0
54597,54602,,,86169698,81098249,0
54295,54204,,,85927957,81094856,0
381627,407409,,,85930060,81059153,0
54632,54911,,,85952128,81063957,0
1542344,1542236,,,81071850,85384812,0
54006,55245,,,81090630,85156611,0
581241,581244,,,85171584,85384758,0
54452,54451,,,81072150,85609495,0
55286,54005,,,81089085,81058858,0
54617,54615,,,85413513,81092300,1
54452,54451,,,85933518,85926007,0
54638,54633,,,82400014,85936526,0
54617,54615,,,82400014,85936526,0
54005,55286,,,85952128,86182420,0
55286,54005,,,81077032,85947398,0
581248,581249,,,81072799,85395136,0
521120,521116,,,85946367,85951888,0
55286,54005,,,85949178,82432099,0
54361,54736,,,85400046,81100180,0
54084,54086,,,85935885,85927448,0
54150,54149,,,81062081,81100762,0
54415,54414,,,85404183,85409222,0
54394,54967,,,81101436,81063040,0
859723,54005,,,83359017,81072842,0
53872,53868,,,81083201,81097378,0
581241,581244,,,85950453,84092634,0
55026,54257,,,81066627,84092634,0
55276,55277,,,81067277,81079288,0
54030,54035,,,85948794,85935121,0
54514,54515,,,85401429,81090344,0
53925,53924,,,86188702,81066258,0
55134,53905,,,81071158,81066258,0
54635,54632,,,85956152,85944995,0
54824,54823,,,81074235,84792332,0
54216,54638,,,81089813,84792332,0
407408,381627,,,81085517,81092872,0
407408,381627,,,85952385,81092872,0
55043,55044,,,81054792,85932634,0
54617,54615,,,83376070,85930800,0
54638,54633,,,83376070,85930800,0
54631,54218,,,85953303,81089090,3
54515,54927,,,85927939,85928253,0
521118,521121,,,85925509,81090968,0
54615,54617,,,85155697,81101799,1
54635,54632,,,82429534,81097949,0
55286,54005,,,81063746,81097949,0
54920,53872,,,81069220,81089801,0
54218,54633,,,85391685,81063192,0
54218,54633,,,82401394,84886670,0
54513,54514,,,85948221,85939086,0
54910,54638,,,81073969,85391429,0
54910,54638,,,84879034,85391429,0
134817,54394,,,86172450,85925000,0
55134,53905,,,81063965,81061446,0
54635,54632,,,85156207,85940200,0
54218,54632,,,81087122,85398296,0
55286,54005,,,85935042,85413317,0
521120,521120,,,85938117,85594008,0
1542280,1542343,,,85609307,81098798,0
54399,54397,,,85600508,85604527,0
53861,54083,,,85171101,81081654,0
53861,54083,,,85168805,81081654,0
391720,54209,,,86185814,81065737,0
55276,55277,,,81084653,81079833,0
54257,55026,,,81076247,81061384,0
54617,54615,,,85386639,85952285,1
53924,53925,,,81064573,85929336,0
54815,54824,,,81058820,85603364,0
54815,54824,,,85926201,85603364,0
53867,53865,,,81073251,85603364,3
54218,54632,,,82401394,85603720,0
54737,859757,,,81093351,81100097,0
54515,54927,,,81054792,81090325,0
54642,54643,,,85952856,85928592,0
1542170,1542237,,,81086191,81077706,0
55286,54005,,,86188702,85594342,0
1542584,1542585,,,86174145,86185740,0
54037,54203,,,85384471,81085954,0
1542525,1542526,,,81072108,86191389,0
54645,859776,,,85399655,85409386,0
55043,55044,,,81054792,85409386,0
54035,54030,,,85926665,85949660,0
55067,54646,,,81069903,85609837,0
54632,54910,,,81060539,81093091,0
54218,54632,,,85946102,86164153,0
54302,55058,,,81070161,85615045,0
54399,54397,,,85606463,85615045,0
54632,54910,,,85933658,81065154,0
54632,54910,,,81097787,81065154,0
1542169,1542343,,,85391841,81087028,0
1542821,1542822,,,81095564,81075114,0
521120,521118,,,85158591,85926285,0
1542329,1542330,,,81059400,81079027,0
54515,54514,,,86179716,81067777,0
54037,54111,,,85944226,85925546,0
54910,54638,,,81073969,84792387,0
54035,54030,,,85943129,85931758,0
55026,54257,,,81092925,85929126,0
54514,54513,,,85955863,85955940,0
54083,54005,,,86176930,81052300,0
521118,521120,,,85945609,81099876,0
859723,55245,,,83359017,81075105,0
54646,54645,,,85926628,81059518,0
54967,54394,,,85951759,85944948,0
381627,407408,,,85612255,81100211,0
859776,54645,,,81053628,81088730,0
1542212,1542213,,,81065239,86188566,0
54370,54371,,,81095564,86176738,0
54632,54910,,,85949178,82414887,0
54815,54824,,,85954496,81080684,0
54822,54824,,,85933725,81062673,0
53906,55135,,,86190974,85594809,0
54218,54632,,,81087122,86179882,0
54515,54927,,,81061506,81092960,0
54514,54513,,,85952301,85947089,0
54515,54927,,,81085471,81093225,0
1542395,1542396,,,86185339,86178819,0
521121,521116,,,81072842,81059648,0
54643,859914,,,81092495,81060936,0
1542332,1542333,,,81091377,81089896,0
54632,54635,,,85956306,85932117,0
53906,55135,,,85611985,85600746,0
55134,53905,,,81956944,81089244,0
55245,859723,,,81100717,81070551,0
54635,54632,,,85953305,81072610,0
54911,54635,,,81080233,86167754,0
54635,54632,,,86168625,85956097,0
54204,859767,,,85172088,81078970,0
53867,53865,,,86178340,85151828,3
54815,54824,,,81065356,85151828,0
53910,53911,,,85404183,85383768,0
54597,54602,,,85954808,81074525,0
54216,54638,,,81085314,81080517,0
54030,54035,,,86191084,86188714,0
1542332,1542333,,,85594986,85611682,0
581249,581248,,,85409862,84771909,0
581249,581248,,,85386639,84771909,0
54513,54514,,,85928056,85928609,0
53895,54005,,,81076488,81084488,0
54514,54513,,,85950501,85941826,0
1542758,1542592,,,85931246,85148756,0
54632,54635,,,81060832,85148756,0
55286,55246,,,85940578,81054968,0
54370,54371,,,86193336,85945017,0
1542822,54515,,,81064775,81052269,0
54646,54645,,,85941908,85609414,0
1542329,1542330,,,81059400,86186413,0
53867,53865,,,86187298,81096818,3
54910,54218,,,81067852,81096568,0
54257,55026,,,81081245,81056224,0
54646,54645,,,85940818,85611188,0
54967,54394,,,85401977,85929016,0
54514,54515,,,85936664,81081777,0
54514,54515,,,85405961,81081777,0
407408,407409,,,85167744,85942786,0
54815,54816,,,85949866,81072973,0
1542822,54515,,,81057010,81072973,0
53912,53907,,,85953305,85929002,0
55245,55246,,,85413362,85410295,0
54982,54985,,,81092973,81499943,0
54413,54415,,,85401977,85397165,0
1542584,1542585,,,85954094,85932134,0
1542169,1542727,,,85944015,86189853,0
54037,54111,,,81073251,81073535,0
54123,54600,,,85615404,85610412,0
54947,54600,,,85943741,85610412,0
55026,54257,,,81055928,84095987,0
54645,859776,,,81073283,81085395,0
54515,1542822,,,81089813,81085395,0
54218,54632,,,85391685,81084608,0
54005,53861,,,85161327,85952316,0
54502,54498,,,85926012,85952316,0
54646,54645,,,85926628,82390291,0
54454,75041,,,81097541,85951938,0
54394,134817,,,81062030,85942403,0
54005,53861,,,81072842,85155387,0
54123,54600,,,85610974,85953517,0
54911,54635,,,81080233,81081697,0
54643,54642,,,81057989,86175315,0
521121,521116,,,81072842,81056203,0
54632,54911,,,85931282,81066693,0
1542509,1542512,,,85611200,85945670,0
53923,53929,,,81059576,81056295,0
1542496,1542495,,,81067818,81951688,0
54600,54602,,,81085540,81068576,0
521118,521120,,,85955658,81068576,0
54597,54602,,,85944667,81068576,0
54209,54363,,,81093685,85957311,0
54632,54910,,,85947285,81087788,0
55276,55277,,,85406107,81054617,0
54514,54513,,,85935931,85931492,0
54967,54394,,,81089085,84790087,0
407408,407409,,,85167744,81084019,0
54643,54642,,,82393977,86170977,0
54209,391720,,,81100505,86185903,0
53906,55135,,,85940578,85406614,0
1542525,1542526,,,81090756,85164519,0
54434,54785,,,81067818,81081918,0
521120,521116,,,81097270,81074519,0
54302,55058,,,81089855,85957029,0
54632,54911,,,81054653,81072331,0
54083,54005,,,86176930,81065619,0
859844,54682,,,86184705,81089634,0
521118,521121,,,86187548,85615047,0
54615,54615,,,85951154,85615047,1
54615,54615,,,81101447,85615047,1
54638,54633,,,85394351,81065404,0
54617,54615,,,85394351,81065404,0
54218,54633,,,85391685,81065404,0
54635,54632,,,85926008,85936721,0
54452,54451,,,85933518,85948107,0
53996,53995,,,81059567,81087300,0
54947,54600,,,85950453,85954857,0
54824,54823,,,85937889,81068382,0
54361,54209,,,81068466,81092081,0
54454,75041,,,81097541,81085066,0
